id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm
50188,Villa in Ix-Xewkija · ★4.88 · 3 bedrooms · 3 beds · 2.5 baths,45357098,Alexandra,Xewkija,36.03035,14.2558,Entire home/apt,150,4,178,1,283,12
102120,Home in Għajnsielem · ★4.77 · 4 bedrooms · 7 beds · 4 baths,534091,Michael,Ghajnsielem,36.02723,14.2875,Entire home/apt,104,3,38,7,328,7
109123,"Rental unit in Nadur, · ★4.80 · 2 bedrooms · 3 beds · 1 bath",560039,Lino And Rose,Nadur,36.0382,14.28939,Entire home/apt,50,4,111,3,0,10
113998,Rental unit in Floriana · ★4.67 · 1 bedroom · 2 beds · 1 bath,578865,Alan,Floriana,35.89278,14.50396,Entire home/apt,58,6,202,7,143,12
114044,Condo in Ta' Xbiex · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,578994,Paul,Ta' Xbiex,35.89977,14.49223,Private room,60,2,83,2,364,22
114643,Condo in St Julian's · ★4.25 · 2 bedrooms · 3 beds · 1 bath,581374,Carol,San Giljan,35.91748,14.48653,Entire home/apt,57,1,284,2,295,59
115387,Rental unit in Marsalforn · ★4.44 · Studio · 1 bed · 1 bath,577652,Victor,Zebbug (Ghawdex),36.07072,14.25883,Entire home/apt,50,3,151,13,337,16
116725,Villa in San Pawl il-Baħar · ★4.83 · 3 bedrooms · 6 beds · 2 baths,589735,TwoRoom,San Pawl il-Bahar,35.95338,14.42346,Entire home/apt,135,5,72,5,289,0
122193,Rental unit in Msida · ★4.91 · 1 bedroom · 2 beds · 1 private bath,612796,Marco,Msida,35.89343,14.48897,Private room,50,3,58,1,98,19
152275,Rental unit in St Julian's · ★4.60 · 1 bedroom · 2 beds · 1 shared bath,732702,Santina,San Giljan,35.91796,14.48802,Private room,40,2,71,2,322,9
156257,Rental unit in Gzira · ★4.81 · 1 bedroom · 5 beds · 1.5 baths,610336,Alexander,Sliema,35.90856,14.49841,Private room,40,3,146,1,271,8
158233,Loft in Tas-Sliema · ★4.79 · 1 bedroom · 2 beds · 1 bath,721498,Natalia And Mazen,Sliema,35.91287,14.49484,Entire home/apt,41,3,326,4,315,37
161025,Condo in Msida · ★4.95 · 1 bedroom · 2 beds · 1 shared bath,762525,Lorna,Msida,35.897705402263696,14.48394852104805,Shared room,16,2,19,10,357,8
163284,Earthen home in Siggiewi · ★4.80 · 1 bedroom · 2 beds · 1 bath,779619,Michael,Siggiewi,35.85566,14.39622,Entire home/apt,250,2,11,3,275,0
